"1950",10026773
"1951",10200280
"1952",10328343
"1953",10435631
"1954",10550737
"1955",10680023
"1956",10821661
"1957",10957040
"1958",11095726
"1959",11278024
"1960",11417254
"1961",11556008
"1962",11721416
"1963",11889962
"1964",12041970
"1965",12212269
"1966",12377194
"1967",12535307
"1968",12661095
"1969",12798346
"1970",12957621
"1971",13119430
"1972",13269563
"1973",13387623
"1974",13491020
"1975",13599092
"1976",13733578
"1977",13814495
"1978",13897874
"1979",13985526
"1980",14091014
"1981",14208586
"1982",14285829
"1983",14339551
"1984",14394589
"1985",14453833
"1986",14529430
"1987",14615125
"1988",14714948
"1989",14805240
"1990",14892574
"1991",15010445
"1992",15129150
"1993",15239182
"1994",15341553
"1995",15424122
"1996",15493889
"1997",15567107
"1998",15654192
"1999",15760225
"2000",15863950
"2001",15987075
"2002",16105285
"2003",16192572
"2004",16258032
"2005",16305526
"2006",16334210
"2007",16357992
"2008",16405399
"2009",16485787
"2010",16574989
"2011",16655799
"2012",16730348
"2013",16779575
"2014",16829289
"2015",16900726
"2016",16979120
"2017",17081507
